data	tassopassivo	euribor 1m	vol	t
200401	0.40	2.104904762	1.768500185	1
200402	0.31	2.08955	1.72577925	2
200403	0.38	2.071217391	1.675135562	3
200404	0.29	2.0812	1.653840942	4
200405	0.33	2.089952381	1.759161309	5
200406	0.33	2.105181818	1.812194063	6
200407	0.35	2.104545455	1.901012906	7
200408	0.36	2.105954545	2.010340262	8
200409	0.35	2.106818182	2.063553645	9
200410	0.38	2.115190476	2.09626864	10
200411	0.37	2.139181818	2.052473011	11
200412	0.40	2.197	2.136583906	12
200501	0.36	2.140047619	1.985198749	13
200502	0.34	2.1329	2.044083151	14
200503	0.38	2.132	2.15846599	15
200504	0.37	2.133666667	2.141885697	16
200505	0.40	2.133136364	2.235511429	17
200506	0.40	2.132909091	2.296378021	18
200507	0.38	2.135380952	2.194284805	19
200508	0.39	2.141608696	2.217104794	20
200509	0.38	2.144181818	2.248652845	21
200510	0.39	2.150047619	2.296188708	22
200511	0.39	2.253454545	2.366430192	23
200512	0.43	2.444619048	2.489708892	24
200601	0.43	2.421454545	2.391992629	25
200602	0.39	2.49275	2.495677301	26
200603	0.37	2.670130435	2.47238087	27
200604	0.40	2.685944444	2.455019284	28
200605	0.42	2.730045455	2.638938731	29
200606	0.41	2.908863636	2.491622074	30
200607	0.44	2.979714286	2.446459377	31
200608	0.45	3.137043478	2.389422645	32
200609	0.45	3.201047619	2.316993464	33
200610	0.47	3.396681818	2.421221704	34
200611	0.46	3.468954545	2.372317593	35
200612	0.49	3.690578947	2.356505025	36
200701	0.49	3.665909091	2.399872926	37
200702	0.47	3.7018	2.33327015	38
200703	0.49	3.897545455	2.448209933	39
200704	0.49	3.913	2.577939103	40
200705	0.50	3.973863636	2.222784275	41
200706	0.52	4.155047619	2.708432848	42
200707	0.49	4.162	2.506686662	43
200708	0.49	4.367913043	2.555411746	44
200709	0.49	4.4955	2.47162414	45
200710	0.51	4.294434783	2.505229669	46
200711	0.50	4.274590909	2.285418327	47
200712	0.53	4.776842105	2.462080603	48
200801	0.53	4.255409091	2.259411145	49
200802	0.51	4.240095238	2.074877474	50
200803	0.54	4.364473684	2.085601871	51
200804	0.45	4.429818182	1.938229126	52
200805	0.48	4.44847619	1.96482402	53
200806	0.48	4.534380952	1.993313265	54
200807	0.59	4.533565217	1.888714218	55
